Feature,Mean,Std Dev,Min Val,Max Val,25 Percentile,50 Percentile,75 Percentile
1005,-0.10280206249999999,0.2892457999539996,-0.79283,0.975277,-0.28327125,-0.15989399999999998,0.033002000000000004
1006,-0.05275611764705883,0.2860389846524564,-0.677368,0.728731,-0.28020775,-0.0725035,0.14748575
1007,-0.05335498529411765,0.2693225900163,-2.0,0.835545,-0.12424099999999999,-0.054096,0.021059
1008,-0.13569809926470588,0.29104888470993706,-0.664715,0.867095,-0.3232925,-0.21324900000000002,0.016885499999999998
1009,-0.10948810294117646,0.3768412036217639,-1.076846,0.664564,-0.36156225,-0.10081499999999999,0.19687424999999997
1010,-0.15873770588235295,0.27203952498599293,-0.695968,1.286174,-0.3350275,-0.2111785,-0.0368165
1011,-0.09435467647058825,0.3151315468032261,-0.782973,1.034438,-0.3386,-0.118603,0.10830925
1012,0.00722261764705882,0.21761056865189443,-0.562843,2.0,-0.06898875,-0.0218235,0.03628825
1013,0.010483772058823526,0.28309041385759726,-2.0,2.0,-0.02732975,0.027910499999999998,0.078877
1014,-0.05445102573529412,0.26941071874089995,-1.077094,0.656399,-0.239843,-0.035692,0.13846275
1015,-0.4049021360294118,0.47626925894484823,-1.256646,1.161728,-0.7620707499999999,-0.494765,-0.17411375
1016,-0.06867109926470588,0.27187222575233866,-0.925383,0.978445,-0.22578875,-0.093984,0.0563245
1017,-0.11404114705882351,0.2910500972868111,-0.749146,0.918818,-0.3334335,-0.1318925,0.0962065
1018,-0.02289220220588235,0.24792651176657612,-2.0,2.0,-0.052852249999999996,-0.0008825,0.04040175
1019,-0.12774032720588235,0.25193734575801807,-0.722025,0.972567,-0.2602585,-0.18124200000000001,-0.05139025
1020,0.018072507352941178,0.2673830970363771,-1.037667,1.636895,-0.12072574999999999,-0.018033,0.13533599999999998
1021,-0.08005889705882352,0.2701299623808494,-1.068651,0.63038,-0.25115575,-0.093688,0.1047905
1022,-0.08390469852941175,0.2882412686152926,-0.840247,0.608878,-0.27947425000000004,-0.050043000000000004,0.10617974999999999
1023,-0.09107534191176472,0.2710644319448249,-0.717411,0.846554,-0.279253,-0.1166325,0.04799125
1024,-0.0012122426470588226,0.26203754108019117,-2.0,2.0,-0.042804499999999995,-0.001318,0.054542
1025,0.027052856617647055,0.20379715220638303,-1.615971,0.437924,-0.0288465,0.0280985,0.11216925
1026,-0.08042931617647059,0.268386554699552,-0.970645,0.606324,-0.25398824999999997,-0.0474175,0.092789
1027,-0.060495985294117635,0.25182477846487256,-1.911156,0.626081,-0.18495275,-0.0671495,0.0819135
1028,-0.06044677573529412,0.28443931130710076,-0.752756,0.918696,-0.22600250000000002,-0.08764649999999999,0.10325400000000001
1029,0.02585944117647059,0.26369343753571295,-1.501979,2.0,-0.04503275,0.0030495,0.06614175
1030,-0.1864941139705882,0.41867100656234185,-1.242236,0.74145,-0.51452025,-0.273095,0.105381
1031,-0.18230135294117647,0.4006430904525933,-1.121461,0.797221,-0.46912600000000004,-0.219385,0.10383525000000002
1032,-0.07770822426470589,0.2785590393081058,-0.946019,0.681652,-0.23680849999999998,-0.08286199999999999,0.10226775
1033,-0.1864869705882353,0.400703465854949,-0.949813,0.749216,-0.46632325,-0.3622465,0.21057525
1034,-0.0647912830882353,0.29169683248643974,-1.491634,0.513767,-0.16721724999999998,-0.0156405,0.11326925
1035,-0.03649426838235294,0.2641992351145959,-0.720797,1.05761,-0.2077655,-0.08096800000000001,0.128566
1036,-0.09931045588235293,0.25781615096684374,-0.600204,1.009403,-0.252139,-0.15323900000000001,-8.125000000000005e-05
1037,-0.05521844485294118,0.2402854353313255,-2.0,0.862616,-0.15352,-0.0784315,-2.749999999999999e-05
1038,-0.07791078308823529,0.26612569281327636,-0.924072,0.904719,-0.20932175,-0.12325449999999999,0.032926
1039,-0.08035094852941176,0.3088099067322885,-0.964033,1.043392,-0.28910775,-0.0616985,0.1234385
1040,-0.09816255147058824,0.3151208631654364,-0.973627,1.204013,-0.30092800000000003,-0.07982,0.11445150000000001
1041,-0.08903623897058824,0.30625039833923356,-0.849523,0.668328,-0.30206075,-0.095673,0.10806425
1042,-0.06019362867647059,0.2485985043794149,-0.661869,1.292962,-0.18250100000000002,-0.10016749999999999,0.0019260000000000002
1043,-0.2741185625,0.2937349441434812,-0.812237,1.615313,-0.43254000000000004,-0.321736,-0.19634049999999997
1044,-0.4819080257352941,0.5062145205257992,-1.249872,1.326776,-0.84040175,-0.586293,-0.2274515
1045,-0.07926707720588236,0.2579385031618727,-0.733668,0.503398,-0.256522,-0.07173299999999999,0.10681
1046,-0.08717609558823529,0.27856262134182525,-0.768643,0.591638,-0.29542575,-0.09292700000000001,0.10469650000000001
1047,-0.1012241875,0.2720382238430102,-0.712036,0.877174,-0.28219825,-0.1308225,0.07327025000000001
1048,-0.39220996323529406,0.49973511967906864,-1.449863,1.393013,-0.7438892500000001,-0.453237,-0.05177175
1049,-0.23881304779411766,0.24370656914495722,-0.701025,1.543101,-0.34518424999999997,-0.275443,-0.19512049999999997
1050,0.018295702205882357,0.22163117908393573,-1.445991,2.0,-0.05687375,0.007846,0.06743924999999999
1051,-0.3605088051470588,0.4239548083236961,-0.89765,1.173,-0.592876,-0.4896475,-0.3592765
1052,-0.10895776470588235,0.32432088617523347,-0.853411,0.891629,-0.3363515,-0.15547450000000002,0.096717
1053,-0.039996511029411756,0.2500629335902703,-0.954213,0.568131,-0.19708775,-0.0273565,0.13113675
1054,-0.017445676470588232,0.30066126693203227,-0.696756,1.169456,-0.19745875,-0.052499500000000004,0.14110375
1055,-0.17592968014705884,0.38221329495473955,-2.0,0.805046,-0.44588875,-0.186806,0.09612849999999999
1056,-0.10306288602941177,0.29275035706857383,-1.793611,1.248236,-0.23702450000000003,-0.14698850000000002,0.013596
1057,-0.06662014338235295,0.31961209724882433,-0.981545,0.80072,-0.27026725,-0.041967500000000005,0.15159699999999998
1058,-0.09021944485294116,0.2771506540341609,-0.75558,0.806405,-0.2697775,-0.098442,0.0626095
1059,-0.06897339705882354,0.2677422066529553,-0.614113,0.938739,-0.25095,-0.0855265,0.0804985
1060,-0.22007970220588235,0.4494190093305225,-1.216595,1.196757,-0.5409062499999999,-0.17993,0.10696125000000001
1061,-0.0725526544117647,0.2722159921401591,-0.862483,0.690805,-0.269269,-0.085146,0.1210175
1062,-0.07401301470588235,0.27538342914730046,-0.830259,0.738855,-0.26673225,-0.101265,0.11267424999999999
1063,-0.0841818455882353,0.25425355878394246,-1.011554,0.584222,-0.242036,-0.08918000000000001,0.075048
1064,-0.1784387205882353,0.41060753003549316,-1.142323,1.109025,-0.47179725,-0.1912645,0.06993474999999999
1065,-0.06505840073529412,0.2666828585271892,-1.057593,0.583895,-0.23958474999999999,-0.020774,0.10869
1066,-0.13076729411764704,0.29856585145797443,-0.689192,1.002978,-0.325957,-0.180372,0.0296
1067,-0.05618597426470588,0.25266769961238567,-0.822987,0.70235,-0.2275145,-0.06965099999999999,0.09467975
1068,0.0346228125,0.33590094621388056,-2.0,2.0,-0.036716,0.017508000000000003,0.0749485
1069,-0.11537280514705882,0.3319921751844145,-1.051775,0.674186,-0.36267000000000005,-0.1222545,0.13597125000000002
1070,-0.03973699632352941,0.26635569523101305,-0.696215,0.972858,-0.21753775,-0.062327,0.11224075
1071,0.014061180147058821,0.22015764616959016,-2.0,2.0,-0.03754375,0.0165715,0.07990225
1072,-0.0983427205882353,0.2874226160498706,-0.812325,0.929778,-0.28989075,-0.129858,0.10060825
1073,-0.10856091544117646,0.3094501223744748,-1.047284,1.023143,-0.33680375,-0.15296300000000002,0.0977785
